plan,monthlyPrice,tenureMonths,outages,complaints,supportCalls,latePayments,competitorAvailable,monthlyContract,speedMbps,avgMonthlyUsageGb,recentPlanChange,contractRenewalDue,region,churn
Plus,999,32,3,4,6,3,0,1,200,186,False,False,West,1
Ultra,2499,59,2,0,6,4,0,0,1000,130,False,True,West,1
Premium,1499,25,5,3,7,2,1,1,500,152,False,False,West,1
Basic,699,31,0,0,5,1,0,0,100,200,False,False,South,0
Plus,999,16,2,7,1,4,0,1,200,180,False,False,South,1
Basic,699,50,2,4,1,4,0,1,100,80,False,False,West,1
Plus,999,5,3,1,4,5,0,0,200,156,False,False,East,1
Premium,1499,1,6,7,1,3,1,1,500,168,False,False,East,1
Ultra,2499,30,6,4,5,1,0,1,1000,312,False,True,West,1
Ultra,2499,22,0,7,5,1,1,0,1000,198,False,False,East,0
Premium,1499,36,0,3,1,1,1,1,500,45,False,True,West,1
Ultra,2499,29,0,1,4,1,1,0,1000,184,False,False,West,1
Premium,1499,28,8,5,5,5,1,1,500,166,False,True,South,1
Plus,999,13,3,7,4,5,1,0,200,177,False,False,East,1
Basic,699,46,8,2,4,0,0,1,100,259,False,True,West,1
Basic,699,37,4,7,7,3,1,0,100,235,False,False,West,1
Basic,699,26,7,1,0,1,0,1,100,278,True,True,West,1
Plus,999,50,8,6,7,3,1,1,200,221,False,False,North,0
Plus,999,41,3,4,1,1,0,0,200,110,False,True,West,1
Ultra,2499,19,0,3,4,5,1,1,1000,186,True,True,East,1
Plus,999,28,1,3,2,2,0,0,200,71,True,False,East,1
Ultra,2499,45,4,6,4,4,1,1,1000,105,True,True,West,1
Premium,1499,2,1,3,0,5,1,0,500,115,False,True,West,0
Plus,999,38,6,7,1,3,1,1,200,125,False,False,South,1
Ultra,2499,19,6,0,7,0,1,1,1000,236,False,False,West,0
Basic,699,43,8,7,6,0,0,1,100,195,False,False,West,1
Plus,999,18,8,2,4,3,1,0,200,67,True,False,South,1
Premium,1499,36,0,6,1,1,0,1,500,198,False,False,South,1
Premium,1499,33,4,6,7,3,0,1,500,93,False,False,South,1
Premium,1499,50,6,5,8,2,0,1,500,216,False,False,West,1
Ultra,2499,35,7,5,5,4,1,1,1000,197,False,False,South,1
Plus,999,55,6,0,5,5,1,1,200,132,False,False,South,1
Basic,699,9,8,5,1,3,0,1,100,200,True,True,South,1
Premium,1499,22,6,1,5,5,1,1,500,310,False,False,West,1
Basic,699,40,1,3,4,1,0,1,100,96,False,False,North,1
Premium,1499,58,0,0,5,0,1,1,500,111,False,True,West,1
Plus,999,11,2,1,6,4,0,1,200,261,False,True,West,1
Ultra,2499,17,0,7,4,5,0,0,1000,247,False,False,East,1
Ultra,2499,45,4,7,4,1,1,1,1000,237,True,False,East,1
Premium,1499,2,6,4,0,4,0,1,500,162,False,False,South,1
Premium,1499,15,3,4,2,5,0,0,500,117,False,False,East,1
Basic,699,59,4,5,6,1,0,0,100,174,False,False,East,1
Premium,1499,54,2,4,7,2,1,0,500,199,False,True,South,1
Ultra,2499,55,8,5,1,3,0,1,1000,180,False,False,East,1
Premium,1499,7,3,7,0,4,1,0,500,161,False,False,West,0
Premium,1499,42,6,1,2,0,0,1,500,223,False,True,South,0
Plus,999,25,7,5,8,3,0,1,200,105,False,False,West,0
Premium,1499,3,5,3,7,3,0,1,500,164,True,False,East,1
Premium,1499,13,1,7,1,5,0,0,500,213,True,False,South,1
Plus,999,5,8,3,3,1,1,0,200,120,False,False,East,0
Plus,999,9,8,4,2,0,0,0,200,148,True,False,South,1
Basic,699,12,4,0,2,5,1,0,100,194,False,False,East,1
Basic,699,29,8,3,0,5,1,1,100,192,False,True,West,1
Ultra,2499,44,1,7,7,0,0,1,1000,118,False,True,East,1
Premium,1499,25,8,4,7,4,1,0,500,184,False,True,South,1
Plus,999,27,5,7,6,3,0,1,200,205,False,False,East,0
Ultra,2499,5,1,1,1,3,0,1,1000,255,False,False,East,1
Ultra,2499,23,6,0,4,4,1,1,1000,83,True,False,South,1
Plus,999,55,1,5,8,2,0,1,200,216,False,False,North,1
Premium,1499,2,2,4,4,2,1,0,500,216,False,True,West,1
Basic,699,6,8,3,6,3,1,1,100,219,True,False,East,1
Basic,699,57,0,2,2,4,0,0,100,246,False,False,West,1
Ultra,2499,18,3,1,5,3,0,1,1000,157,False,False,East,1
Ultra,2499,39,0,0,3,2,0,0,1000,125,False,False,North,1
Ultra,2499,12,2,6,8,5,0,1,1000,146,True,False,North,1
Ultra,2499,59,1,5,6,4,1,1,1000,342,False,False,East,1
Ultra,2499,54,5,1,6,0,0,1,1000,228,False,False,West,0
Premium,1499,15,5,2,1,4,0,0,500,146,False,False,South,1
Plus,999,17,3,2,2,5,0,0,200,184,False,False,West,1
Ultra,2499,44,5,5,2,3,0,1,1000,129,False,False,East,1
Premium,1499,33,1,4,7,3,0,0,500,128,False,False,North,1
Ultra,2499,30,8,0,7,4,0,1,1000,183,False,False,North,1
Premium,1499,46,1,2,0,1,1,1,500,330,False,False,East,1
Premium,1499,25,6,5,0,5,1,0,500,38,False,False,West,1
Plus,999,22,1,2,5,2,1,0,200,133,False,False,East,1
Premium,1499,53,2,1,6,4,1,0,500,124,False,True,South,1
Ultra,2499,13,3,2,2,0,1,0,1000,215,False,False,North,1
Plus,999,39,6,2,2,1,0,1,200,95,True,False,South,0
Premium,1499,49,7,3,8,1,1,1,500,146,False,True,West,1
Premium,1499,50,6,6,2,1,0,1,500,303,True,False,East,1
Basic,699,46,8,1,4,0,0,1,100,91,False,False,West,1
Plus,999,53,7,5,0,3,0,1,200,328,False,True,North,1
Basic,699,21,1,5,2,1,0,1,100,73,False,False,South,0
Ultra,2499,29,0,1,0,2,0,0,1000,268,False,False,West,1
Premium,1499,16,4,1,0,1,1,1,500,211,True,False,West,1
Basic,699,41,8,3,2,2,1,0,100,115,False,True,West,1
Basic,699,34,5,1,8,4,0,1,100,20,False,True,West,0
Premium,1499,48,0,5,1,2,0,0,500,162,False,False,East,1
Premium,1499,35,5,2,7,5,1,0,500,294,False,True,West,1
Plus,999,3,3,0,5,2,1,1,200,149,False,False,South,1
Basic,699,56,5,4,1,2,1,1,100,280,False,False,West,1
Plus,999,32,7,5,8,2,0,1,200,261,True,False,South,1
Premium,1499,7,1,5,4,2,1,1,500,111,True,False,West,1
Premium,1499,40,6,4,0,0,1,1,500,193,False,False,South,0
Plus,999,55,7,0,2,0,0,1,200,184,False,False,North,1
Ultra,2499,24,5,7,1,4,0,1,1000,187,False,False,South,0
Basic,699,48,2,7,8,3,0,1,100,291,False,False,South,0
Premium,1499,45,7,3,1,1,0,1,500,329,True,False,North,0
Premium,1499,43,5,1,8,4,1,1,500,169,False,False,South,1
Plus,999,8,3,2,3,3,0,1,200,199,False,False,South,1
Basic,699,5,4,6,7,4,1,1,100,165,False,True,East,1
Ultra,2499,30,8,5,2,4,0,0,1000,138,False,False,North,1
Plus,999,20,2,2,5,5,0,1,200,204,False,False,East,0
Premium,1499,13,8,4,2,5,1,0,500,242,False,True,South,1
Premium,1499,54,0,0,1,0,1,0,500,236,False,False,North,1
Premium,1499,42,4,7,3,5,1,1,500,121,False,False,South,1
Ultra,2499,30,3,5,2,2,1,1,1000,232,False,True,East,1
Basic,699,21,3,7,1,2,1,0,100,178,True,True,West,0
Ultra,2499,16,2,5,5,1,0,1,1000,269,False,False,East,1
Basic,699,26,8,7,3,1,1,0,100,218,True,False,West,1
Basic,699,55,1,6,2,2,1,1,100,164,False,False,South,1
Premium,1499,5,6,7,8,2,0,0,500,237,False,False,East,1
Premium,1499,49,2,3,8,3,0,0,500,271,True,False,West,1
Plus,999,39,8,2,5,4,1,0,200,227,False,False,East,1
Ultra,2499,46,4,7,0,2,1,0,1000,202,False,False,North,1
Premium,1499,42,3,0,7,1,1,0,500,186,False,True,North,1
Ultra,2499,21,6,2,6,5,0,1,1000,122,False,False,West,1
Basic,699,46,2,3,8,2,1,1,100,109,False,True,East,1
Premium,1499,40,7,3,3,2,1,0,500,261,False,False,East,1
Ultra,2499,21,7,5,8,5,1,1,1000,223,True,False,West,1
Ultra,2499,53,5,2,4,0,1,0,1000,179,False,False,East,1
Plus,999,13,8,4,8,5,1,0,200,185,True,False,South,1
Plus,999,41,3,0,1,3,1,1,200,248,True,False,North,0
Plus,999,27,7,7,3,2,1,1,200,122,False,False,North,1
Plus,999,35,0,2,6,1,0,1,200,208,False,True,East,0
Basic,699,20,1,5,4,3,1,0,100,122,False,False,South,1
Premium,1499,11,7,4,2,0,1,1,500,197,False,False,South,1
Ultra,2499,53,6,5,1,3,0,0,1000,147,False,False,South,1
Ultra,2499,16,7,4,5,2,0,1,1000,78,False,False,North,1
Ultra,2499,20,2,6,8,5,1,0,1000,129,False,False,East,1
Plus,999,9,7,2,7,5,1,1,200,201,False,False,South,1
Basic,699,34,7,5,1,4,0,0,100,240,False,False,South,1
Plus,999,11,5,7,1,5,0,1,200,178,True,False,North,1
Ultra,2499,30,0,7,4,5,0,1,1000,178,False,True,South,1
Basic,699,28,5,1,8,0,0,1,100,202,True,False,South,0
Ultra,2499,24,6,7,6,3,0,0,1000,216,False,False,South,0
Ultra,2499,34,2,3,0,0,1,1,1000,172,False,False,West,0
Plus,999,30,5,2,4,1,0,0,200,228,False,False,North,1
Basic,699,7,0,7,0,1,0,1,100,195,False,False,North,1
Premium,1499,15,5,5,3,2,0,0,500,186,False,False,South,1
Ultra,2499,36,7,0,5,5,1,1,1000,181,False,False,East,1
Ultra,2499,16,3,4,2,3,0,1,1000,281,False,False,South,1
Premium,1499,14,5,1,7,2,0,0,500,330,True,False,North,0
Plus,999,52,8,3,7,1,1,1,200,241,False,True,South,0
Basic,699,48,7,3,3,3,0,1,100,333,False,False,East,1
Premium,1499,33,7,7,1,5,1,1,500,121,False,False,West,1
Plus,999,48,2,0,4,4,1,1,200,31,True,False,West,1
Plus,999,32,8,5,4,3,1,1,200,126,True,False,South,1
Ultra,2499,12,8,0,8,0,0,0,1000,203,False,False,South,1
Plus,999,1,3,7,5,0,1,1,200,246,True,False,West,1
Premium,1499,35,4,0,8,5,1,0,500,117,True,True,South,1
Premium,1499,53,5,4,6,0,1,1,500,87,False,True,South,1
Basic,699,42,0,1,6,3,1,1,100,262,True,True,South,1
Ultra,2499,42,5,1,8,0,0,0,1000,60,False,False,West,1
Basic,699,44,4,0,2,2,0,0,100,171,False,False,West,0
Premium,1499,11,3,6,8,2,1,0,500,68,False,False,North,1
Premium,1499,4,1,6,3,0,1,1,500,180,False,False,East,1
Ultra,2499,32,3,5,8,3,1,0,1000,148,False,False,North,1
Premium,1499,52,3,1,1,2,0,1,500,105,False,False,West,1
Basic,699,6,0,4,7,2,1,0,100,188,True,True,West,1
Ultra,2499,7,0,1,5,4,0,1,1000,229,False,True,West,1
Basic,699,47,8,3,8,1,1,0,100,72,True,False,West,1
Plus,999,28,4,6,4,3,0,1,200,203,False,True,West,1
Plus,999,30,1,2,4,0,1,1,200,288,False,False,East,1
Ultra,2499,53,2,4,5,4,0,1,1000,262,False,False,East,1
Ultra,2499,37,3,5,6,2,1,1,1000,324,True,False,South,1
Basic,699,47,7,3,7,2,0,1,100,162,False,True,East,1
Plus,999,46,6,6,1,3,1,1,200,225,False,False,West,1
Premium,1499,45,8,1,1,1,1,0,500,112,False,True,West,0
Premium,1499,51,6,1,0,0,1,0,500,254,False,False,South,1
Ultra,2499,30,8,2,5,0,1,0,1000,97,False,False,North,1
Plus,999,23,4,5,7,1,1,1,200,161,False,False,West,1
Premium,1499,3,1,0,5,5,0,0,500,285,False,False,South,1
Premium,1499,36,6,7,3,3,0,0,500,294,False,False,North,1
Plus,999,29,6,6,0,5,0,0,200,60,False,False,North,1
Plus,999,24,5,3,7,0,1,1,200,206,False,False,West,1
Basic,699,23,5,7,2,5,1,0,100,35,False,False,South,1
Plus,999,24,2,6,6,4,0,1,200,88,False,False,South,1
Ultra,2499,19,2,2,5,3,0,1,1000,205,False,False,South,0
Ultra,2499,27,7,6,7,3,0,0,1000,144,False,False,South,1
Premium,1499,15,8,4,2,3,1,0,500,175,False,False,East,1
Basic,699,49,7,3,6,0,0,1,100,110,False,True,East,1
Basic,699,29,1,3,3,5,1,1,100,142,True,True,South,1
Basic,699,37,5,4,8,1,1,1,100,172,False,False,North,1
Ultra,2499,59,0,4,2,5,0,0,1000,141,True,False,South,1
Ultra,2499,32,2,4,6,3,1,0,1000,317,False,False,North,1
Premium,1499,45,5,7,7,2,0,0,500,131,False,False,East,1
Ultra,2499,14,6,3,7,2,1,1,1000,172,False,False,West,1
Basic,699,3,1,7,0,0,0,1,100,222,False,False,West,1
Plus,999,57,4,2,4,0,1,1,200,142,True,False,South,1
Premium,1499,47,3,6,1,5,0,0,500,160,False,True,South,1
Ultra,2499,1,0,5,1,3,0,1,1000,73,True,False,North,1
Premium,1499,57,4,2,6,1,0,0,500,295,False,True,South,1
Plus,999,41,2,6,7,1,0,0,200,220,True,True,West,1
Ultra,2499,21,2,3,4,5,0,0,1000,395,False,False,East,1
Basic,699,55,4,3,8,4,0,1,100,171,False,True,South,1
Basic,699,16,7,1,8,0,1,1,100,67,True,False,West,1
Plus,999,49,7,1,0,4,0,0,200,127,False,True,North,0
Ultra,2499,33,4,6,6,5,1,0,1000,134,False,False,South,1
Premium,1499,6,8,3,2,4,1,1,500,298,False,False,North,1
Ultra,2499,47,3,0,3,0,1,0,1000,179,False,False,East,1
Plus,999,8,0,2,0,1,1,1,200,185,False,False,East,1
Plus,999,48,4,1,0,2,1,1,200,286,False,False,North,1
Premium,1499,4,7,2,5,1,1,0,500,107,False,False,North,1
Basic,699,3,0,3,0,3,1,1,100,118,False,True,North,1
Ultra,2499,15,5,3,6,5,1,1,1000,244,False,False,North,1
Basic,699,12,3,0,6,0,1,1,100,82,False,False,North,1
Basic,699,24,3,4,4,5,0,1,100,134,False,False,South,1
Plus,999,10,0,6,0,1,1,0,200,138,False,True,West,0
Premium,1499,7,3,3,6,3,0,0,500,183,False,True,South,0
Ultra,2499,45,5,7,1,4,0,0,1000,198,False,False,North,1
Plus,999,16,4,4,5,3,1,1,200,163,False,True,South,1
Basic,699,10,1,2,7,3,1,1,100,139,True,False,South,1
Ultra,2499,17,1,1,2,5,1,0,1000,215,False,False,South,1
Plus,999,23,6,0,4,2,0,0,200,186,False,False,South,1
Basic,699,52,2,1,0,0,0,0,100,63,False,False,North,1
Premium,1499,59,1,0,1,1,1,0,500,133,True,False,East,1
Ultra,2499,4,2,6,6,3,0,1,1000,126,False,True,South,0
Premium,1499,18,7,2,0,4,0,1,500,66,False,False,West,1
Premium,1499,25,2,6,3,5,0,0,500,198,False,False,East,1
Ultra,2499,23,8,5,6,2,0,0,1000,224,False,True,East,1
Ultra,2499,34,5,3,2,0,0,0,1000,175,False,False,North,0
Plus,999,37,6,5,2,1,0,1,200,134,False,False,North,1
Premium,1499,37,2,3,7,4,1,0,500,119,False,True,South,1
Basic,699,34,7,0,5,4,0,0,100,250,False,True,East,1
Plus,999,38,2,1,8,2,0,1,200,238,False,False,North,1
Premium,1499,9,2,6,7,5,1,0,500,217,False,False,East,1
Plus,999,25,4,4,2,1,0,1,200,20,False,False,North,1
Premium,1499,59,3,1,7,1,1,0,500,220,False,False,South,1
Basic,699,53,5,7,0,2,0,0,100,205,False,False,North,1
Basic,699,25,7,6,2,3,1,1,100,186,False,False,West,1
Plus,999,11,7,1,0,2,0,1,200,261,False,True,East,1
Ultra,2499,11,1,1,5,4,1,0,1000,203,False,False,West,1
Basic,699,22,3,3,6,5,1,1,100,145,False,True,West,1
Ultra,2499,10,0,5,0,3,0,1,1000,207,False,False,West,1
Basic,699,14,2,4,1,3,0,1,100,200,False,False,East,1
Ultra,2499,12,5,6,5,1,1,0,1000,240,False,False,South,1
Basic,699,10,1,1,5,4,1,0,100,264,False,False,West,0
Ultra,2499,37,3,7,4,0,1,0,1000,37,False,False,South,1
Ultra,2499,12,2,3,3,1,0,1,1000,49,True,False,South,0
Plus,999,54,4,5,1,0,1,1,200,181,False,False,West,0
Basic,699,51,8,6,1,3,0,0,100,202,False,False,North,0
Basic,699,51,4,5,6,2,1,1,100,238,False,False,South,1
Plus,999,40,6,0,6,2,0,0,200,196,False,False,East,1
Premium,1499,20,4,7,1,1,0,1,500,76,False,False,East,1
Ultra,2499,39,1,3,7,1,1,1,1000,203,False,False,North,1
Plus,999,5,4,6,2,4,0,0,200,224,False,False,North,1
Ultra,2499,4,5,3,4,2,1,1,1000,192,False,True,North,1
Ultra,2499,39,7,2,7,4,1,1,1000,147,True,False,North,1
Ultra,2499,4,2,3,3,5,0,0,1000,238,False,False,North,0
Basic,699,31,2,2,0,1,1,1,100,185,False,False,East,1
Ultra,2499,55,5,7,4,1,1,1,1000,213,False,False,West,1
Basic,699,33,5,4,4,5,0,1,100,252,True,False,East,1
Premium,1499,42,4,3,2,4,0,0,500,161,False,False,West,1
Plus,999,47,0,7,4,2,1,1,200,148,False,True,South,1
Plus,999,44,8,7,5,4,1,0,200,232,False,False,South,1
Ultra,2499,9,4,2,5,5,0,0,1000,240,False,False,East,1
Premium,1499,24,4,4,7,0,1,0,500,208,False,False,North,1
Plus,999,33,1,6,8,2,1,0,200,125,False,True,South,1
Ultra,2499,10,5,2,1,3,1,0,1000,55,False,True,West,1
Plus,999,37,2,7,1,1,1,1,200,225,False,False,West,1
Plus,999,47,5,0,5,4,0,0,200,199,False,False,South,1
Premium,1499,20,2,1,6,4,1,0,500,351,True,True,East,1
Premium,1499,28,2,5,7,2,0,0,500,187,False,False,West,1
Plus,999,47,2,3,0,4,0,0,200,213,False,False,North,1
Premium,1499,50,8,0,0,5,0,0,500,124,True,True,West,1
Premium,1499,31,2,3,0,2,1,0,500,311,False,False,South,1
Basic,699,33,1,4,1,0,1,0,100,291,False,False,South,1
Ultra,2499,19,2,0,8,3,0,1,1000,110,False,True,North,0
Ultra,2499,10,1,1,1,2,0,1,1000,183,False,False,West,1
Plus,999,56,0,4,5,5,1,1,200,61,False,True,North,1
Plus,999,43,2,5,5,3,1,0,200,168,False,False,North,1
Ultra,2499,18,6,7,6,5,0,0,1000,109,True,False,South,1
Ultra,2499,52,7,2,6,2,0,0,1000,237,False,False,West,1
Basic,699,17,5,0,8,5,0,1,100,89,False,False,North,1
Plus,999,31,5,6,2,4,0,0,200,156,False,True,West,1
Plus,999,5,7,5,3,2,1,0,200,161,False,False,West,1
Plus,999,6,7,7,7,0,1,1,200,162,False,False,North,1
Ultra,2499,3,8,0,1,4,1,0,1000,20,False,False,East,1
Basic,699,53,3,7,5,4,1,1,100,163,False,True,South,1
Premium,1499,54,4,5,1,0,0,1,500,309,True,False,West,1
Plus,999,13,1,6,3,3,0,1,200,161,True,False,North,1
Ultra,2499,30,8,2,7,0,0,1,1000,360,False,False,South,1
Plus,999,47,2,1,6,5,1,1,200,180,False,False,South,1
Premium,1499,19,7,2,2,3,1,1,500,193,False,False,South,1
Premium,1499,44,5,2,2,4,1,0,500,139,False,False,West,1
Premium,1499,57,6,0,8,0,0,1,500,177,True,False,South,1
Plus,999,19,4,2,0,5,1,0,200,130,False,True,West,1
Plus,999,48,8,6,3,4,1,0,200,162,False,False,East,0
Basic,699,1,4,3,7,1,1,0,100,20,False,False,East,1
Basic,699,12,2,1,6,0,1,1,100,267,False,True,East,1
Ultra,2499,46,2,0,2,2,0,1,1000,156,False,False,East,1
Premium,1499,34,3,2,8,0,0,1,500,81,False,False,East,1
Plus,999,43,5,5,5,2,0,1,200,102,False,False,North,1
Premium,1499,29,3,3,0,5,1,1,500,245,False,False,West,1
Premium,1499,2,8,5,8,4,1,1,500,230,True,False,South,1
Basic,699,7,2,0,1,1,0,1,100,143,False,True,West,1
Basic,699,48,2,0,7,5,1,0,100,94,True,True,East,1
Plus,999,59,4,6,6,3,1,1,200,163,False,False,North,1
Basic,699,49,0,1,5,4,0,1,100,229,False,False,North,1
Ultra,2499,25,6,0,7,1,0,0,1000,154,False,False,East,0
Plus,999,20,5,0,8,4,0,0,200,104,True,False,West,1
Basic,699,20,3,5,3,3,0,0,100,221,False,False,East,1
Plus,999,43,0,7,8,0,1,0,200,202,False,True,West,0
Premium,1499,9,3,1,4,4,0,0,500,244,False,False,East,1
Plus,999,37,5,5,6,1,0,1,200,143,False,True,West,1
Premium,1499,9,5,7,7,3,1,1,500,130,False,True,North,1
Plus,999,58,8,3,4,5,0,0,200,71,False,False,North,1
Ultra,2499,50,3,0,8,2,1,0,1000,90,False,True,East,1
Basic,699,26,5,0,3,4,0,0,100,34,False,True,South,1
Ultra,2499,23,0,3,7,1,0,1,1000,194,False,True,South,1
Premium,1499,25,7,7,0,0,1,0,500,141,False,False,East,0
Premium,1499,38,8,2,6,5,1,1,500,177,False,False,North,1
Ultra,2499,59,3,6,5,2,1,1,1000,187,False,True,South,1
Plus,999,5,8,4,3,1,0,0,200,154,False,False,North,1
Ultra,2499,52,5,1,7,5,1,1,1000,201,False,True,West,1
Basic,699,9,2,2,8,0,0,0,100,85,True,False,West,1
Basic,699,57,4,1,3,3,1,1,100,191,True,False,South,1
Plus,999,40,8,4,2,5,1,1,200,181,False,True,West,1
Basic,699,2,3,6,2,4,0,0,100,142,False,False,North,0
Basic,699,6,7,2,8,0,1,1,100,193,False,True,West,1
Ultra,2499,51,6,5,1,3,0,1,1000,208,False,True,North,1
Ultra,2499,17,3,0,0,4,0,0,1000,252,False,True,East,1
Basic,699,10,6,4,4,4,1,1,100,197,False,False,West,1
Ultra,2499,36,8,7,2,2,1,1,1000,296,False,False,West,1
Basic,699,48,3,7,2,0,0,1,100,51,False,False,North,1
Basic,699,52,1,2,7,4,1,0,100,136,True,True,North,1
Ultra,2499,60,6,4,0,1,1,1,1000,216,True,False,East,1
Plus,999,40,2,0,5,1,0,0,200,193,True,False,West,1
Ultra,2499,26,3,0,1,0,1,1,1000,137,False,False,South,1
Plus,999,30,6,0,4,1,1,0,200,115,False,False,East,0
Premium,1499,57,8,4,7,3,1,0,500,111,False,False,West,1
Basic,699,31,1,4,1,3,0,0,100,113,False,False,East,1
Basic,699,45,4,3,4,0,1,1,100,214,True,False,West,1
Plus,999,58,4,2,3,3,0,0,200,119,False,False,South,1
Plus,999,54,5,2,1,0,0,1,200,139,False,False,North,0
Premium,1499,40,5,7,4,3,0,1,500,359,False,False,South,1
Ultra,2499,31,8,0,8,2,1,0,1000,260,False,True,West,1
Basic,699,1,3,6,1,2,1,1,100,177,False,False,East,1
Premium,1499,24,2,7,6,1,1,1,500,136,False,False,West,1
Plus,999,37,3,1,4,1,1,1,200,229,False,False,South,1
Basic,699,12,6,7,2,5,1,1,100,224,False,False,North,1
Plus,999,4,3,4,7,5,0,1,200,223,False,False,East,1
Premium,1499,23,0,6,1,2,0,0,500,129,False,False,East,1
Ultra,2499,50,7,1,6,4,1,1,1000,174,False,True,South,1
Premium,1499,27,6,1,1,1,1,0,500,192,False,False,East,1
Ultra,2499,18,7,5,8,3,1,0,1000,206,False,True,South,1
Basic,699,14,2,6,1,0,0,1,100,219,False,True,West,1
Basic,699,7,4,2,1,5,1,1,100,238,False,False,West,1
Plus,999,34,2,0,0,5,1,1,200,175,False,False,East,1
Plus,999,45,8,2,7,5,1,1,200,210,False,False,South,1
Ultra,2499,20,5,6,4,1,1,0,1000,199,True,False,South,1
Ultra,2499,35,0,7,7,2,0,1,1000,104,False,False,North,1
Plus,999,27,8,6,6,1,0,1,200,177,False,True,North,1
Plus,999,34,4,4,8,2,1,0,200,181,False,True,East,1
Ultra,2499,40,7,4,7,1,1,0,1000,245,True,False,North,1
Basic,699,19,4,2,7,5,0,0,100,186,True,True,South,1
Premium,1499,51,7,5,7,5,0,1,500,149,True,False,South,1
Ultra,2499,5,8,7,2,1,1,1,1000,195,False,True,South,1
Ultra,2499,16,0,3,7,5,0,0,1000,267,False,False,East,0
Plus,999,41,0,1,4,3,1,0,200,166,False,True,South,0
Plus,999,41,6,5,0,1,1,0,200,281,False,True,North,1
Ultra,2499,45,2,5,1,1,0,1,1000,252,True,False,North,1
Plus,999,45,8,1,2,3,0,1,200,198,False,False,East,1
Ultra,2499,47,3,0,6,2,0,1,1000,185,False,False,West,1
Ultra,2499,13,2,5,5,5,1,1,1000,143,False,False,South,1
Plus,999,29,4,4,8,2,1,0,200,340,False,False,South,0
Premium,1499,50,3,5,1,5,1,0,500,148,False,False,South,1
Premium,1499,27,5,1,1,4,0,0,500,290,False,True,North,1
Ultra,2499,13,1,0,6,5,1,1,1000,150,True,True,North,1
Plus,999,42,7,1,7,5,0,1,200,85,False,False,West,1
Basic,699,53,4,0,1,2,0,0,100,109,False,True,South,1
Plus,999,13,8,3,2,4,1,0,200,177,False,False,West,1
