plan,monthlyPrice,tenureMonths,outages,complaints,supportCalls,latePayments,competitorAvailable,monthlyContract,speedMbps,churn
Ultra,2499,29,3,6,7,2,0,1,1000,1
Ultra,2499,7,1,1,5,0,1,1,1000,0
Basic,699,37,1,6,6,3,1,0,100,1
Plus,999,11,7,8,1,0,1,0,200,1
Premium,1499,31,3,8,8,3,1,0,500,1
Premium,1499,10,1,1,3,6,0,1,500,0
Premium,1499,24,1,6,4,5,1,1,500,1
Plus,999,57,6,3,3,0,0,1,200,1
Basic,699,59,0,1,3,3,1,1,100,0
Premium,1499,13,7,1,0,3,1,1,500,1
Basic,699,4,0,4,8,1,0,0,100,0
Ultra,2499,31,8,0,8,3,1,0,1000,1
Basic,699,28,0,0,3,2,1,1,100,0
Plus,999,30,1,3,1,6,0,0,200,0
Basic,699,59,5,4,1,4,0,0,100,1
Plus,999,32,4,5,1,4,1,0,200,1
Ultra,2499,41,1,1,5,2,1,0,1000,0
Plus,999,35,8,3,6,3,0,0,200,1
Premium,1499,52,9,0,7,5,0,0,500,1
Basic,699,5,10,7,3,5,1,1,100,1
Premium,1499,57,1,4,8,5,0,1,500,0
Premium,1499,16,9,0,6,4,0,1,500,1
Basic,699,46,9,0,6,3,0,1,100,1
Plus,999,50,8,0,3,5,0,0,200,1
Premium,1499,24,9,8,4,6,0,1,500,1
Ultra,2499,29,5,8,6,5,0,1,1000,1
Ultra,2499,16,2,0,0,6,1,1,1000,0
Premium,1499,42,4,3,2,4,1,1,500,0
Plus,999,9,9,1,0,3,1,1,200,1
Plus,999,51,3,5,0,2,0,1,200,1
Plus,999,39,7,4,4,0,0,1,200,1
Plus,999,46,7,7,8,0,0,0,200,1
Ultra,2499,54,4,2,5,0,0,0,1000,0
Ultra,2499,53,10,3,0,4,1,1,1000,1
Premium,1499,20,5,8,8,6,1,1,500,1
Ultra,2499,30,9,3,3,6,1,0,1000,1
Premium,1499,4,2,4,2,3,0,1,500,0
Plus,999,26,4,8,2,2,1,0,200,1
Ultra,2499,46,0,7,2,6,1,0,1000,1
Ultra,2499,27,8,1,6,3,1,1,1000,1
Ultra,2499,32,9,6,5,4,0,1,1000,1
Basic,699,6,1,1,4,1,0,0,100,0
Ultra,2499,56,7,1,6,4,1,1,1000,1
Ultra,2499,54,8,5,3,6,0,0,1000,1
Ultra,2499,27,7,4,0,5,0,1,1000,1
Ultra,2499,2,10,5,8,1,0,0,1000,1
Ultra,2499,43,9,6,5,4,0,0,1000,1
Plus,999,36,9,8,4,2,1,1,200,1
Ultra,2499,12,0,0,4,6,0,0,1000,0
Ultra,2499,21,2,3,6,4,0,0,1000,0
Plus,999,33,3,3,5,5,1,1,200,0
Premium,1499,43,2,8,0,1,1,0,500,1
Basic,699,36,2,7,5,2,1,1,100,1
Plus,999,47,9,3,1,5,1,1,200,1
Plus,999,54,2,6,4,2,0,1,200,1
Basic,699,16,5,8,0,1,0,1,100,1
Premium,1499,8,8,6,7,0,0,0,500,1
Basic,699,31,5,7,8,4,1,1,100,1
Plus,999,14,4,1,2,3,0,0,200,0
Basic,699,5,7,2,3,1,0,1,100,1
Basic,699,54,9,5,8,2,1,1,100,1
Premium,1499,25,1,5,7,1,1,0,500,1
Plus,999,13,8,4,7,4,0,0,200,1
Premium,1499,52,1,7,5,4,1,0,500,1
Premium,1499,15,0,2,8,5,0,0,500,0
Ultra,2499,52,5,5,2,6,1,0,1000,1
Basic,699,18,0,5,6,2,1,0,100,1
Premium,1499,43,0,2,3,6,0,1,500,0
Ultra,2499,12,8,0,4,2,1,0,1000,1
Premium,1499,30,2,2,1,1,0,1,500,0
Ultra,2499,44,2,6,3,2,1,0,1000,1
Basic,699,46,9,5,6,6,1,1,100,1
Plus,999,8,4,2,8,6,0,0,200,0
Ultra,2499,8,8,5,0,6,1,0,1000,1
Premium,1499,48,5,2,5,1,0,1,500,1
Ultra,2499,31,6,4,4,1,0,0,1000,1
Premium,1499,34,1,7,7,2,0,0,500,1
Basic,699,6,4,0,4,4,1,0,100,0
Basic,699,37,9,7,2,3,0,1,100,1
Plus,999,41,8,1,2,3,1,1,200,1
Basic,699,59,2,7,5,5,1,0,100,1
Basic,699,58,8,3,0,0,1,0,100,1
Basic,699,54,2,0,4,0,1,0,100,0
Basic,699,38,5,8,1,6,0,1,100,1
Premium,1499,28,5,8,4,1,0,1,500,1
Ultra,2499,17,6,4,2,5,0,1,1000,1
Basic,699,19,9,0,8,3,0,1,100,1
Plus,999,29,9,4,1,5,1,1,200,1
Basic,699,13,4,7,0,1,1,1,100,1
Plus,999,27,6,6,6,1,1,0,200,1
Premium,1499,37,2,3,3,6,1,1,500,0
Basic,699,40,9,8,3,0,1,0,100,1
Ultra,2499,40,5,6,4,0,1,0,1000,1
Basic,699,12,8,1,0,3,1,0,100,1
Plus,999,56,10,4,4,1,0,1,200,1
Basic,699,3,5,6,5,4,0,0,100,1
Plus,999,38,7,1,3,4,1,1,200,1
Plus,999,17,3,6,8,6,0,0,200,1
Premium,1499,56,10,2,1,1,0,1,500,1
Plus,999,55,4,7,3,5,0,1,200,1
Premium,1499,44,1,6,3,4,0,0,500,1
Basic,699,17,5,7,6,6,0,1,100,1
Premium,1499,41,5,7,2,4,0,1,500,1
Premium,1499,35,7,5,6,3,1,1,500,1
Ultra,2499,47,3,8,5,0,1,1,1000,1
Basic,699,18,4,8,2,4,0,0,100,1
Premium,1499,40,4,1,5,5,0,1,500,0
Ultra,2499,50,0,3,2,3,1,0,1000,0
Premium,1499,20,1,0,7,0,0,0,500,0
Ultra,2499,1,2,7,0,1,1,0,1000,1
Plus,999,51,4,3,0,6,1,0,200,0
Basic,699,41,3,3,1,6,0,0,100,0
Plus,999,45,10,7,2,4,1,1,200,1
Ultra,2499,14,0,4,5,0,1,1,1000,0
Plus,999,37,0,1,4,2,0,1,200,0
Plus,999,28,0,5,8,3,1,0,200,1
Ultra,2499,38,2,7,3,2,1,1,1000,1
Premium,1499,36,10,6,7,1,0,0,500,1
Plus,999,12,0,7,8,5,0,0,200,1
Premium,1499,17,9,6,3,5,0,1,500,1
Basic,699,34,8,4,8,6,0,0,100,1
Premium,1499,31,3,3,0,2,1,0,500,0
Basic,699,21,9,1,7,4,0,1,100,1
Premium,1499,55,7,4,6,4,1,0,500,1
Plus,999,1,5,5,1,2,1,0,200,1
Ultra,2499,22,8,5,5,0,1,1,1000,1
Ultra,2499,8,4,5,6,1,1,0,1000,1
Ultra,2499,1,0,3,8,2,1,0,1000,1
Premium,1499,58,1,4,7,6,0,1,500,0
Ultra,2499,35,6,6,1,1,0,0,1000,1
Basic,699,24,6,3,3,1,0,0,100,1
Basic,699,42,6,4,7,0,0,0,100,1
Basic,699,45,7,0,3,2,1,0,100,1
Basic,699,57,0,0,8,0,1,0,100,0
Premium,1499,15,4,6,6,3,1,1,500,1
Ultra,2499,42,3,1,1,0,0,1,1000,0
Basic,699,46,9,5,2,3,0,1,100,1
Plus,999,60,3,4,6,1,1,1,200,0
Ultra,2499,3,4,2,6,5,0,1,1000,0
Basic,699,49,0,2,7,0,0,1,100,0
Premium,1499,57,1,1,3,3,1,1,500,0
Basic,699,38,4,3,7,2,1,1,100,0
Plus,999,22,1,2,1,6,1,0,200,0
Basic,699,43,0,0,7,5,1,1,100,0
Plus,999,11,0,1,2,1,1,1,200,0
Basic,699,16,9,3,0,3,0,1,100,1
Plus,999,7,4,6,8,3,0,1,200,1
Premium,1499,34,1,8,2,6,0,1,500,1
Plus,999,47,5,0,4,0,1,1,200,1
Plus,999,57,3,8,4,0,1,0,200,1
Plus,999,28,10,1,6,5,1,0,200,1
Ultra,2499,48,4,5,6,1,1,0,1000,1
Premium,1499,48,1,7,4,5,1,1,500,1
Plus,999,16,1,0,4,5,1,0,200,0
Basic,699,14,4,6,0,6,1,1,100,1
Basic,699,49,6,0,4,6,1,0,100,1
Plus,999,20,1,3,7,2,0,0,200,0
Ultra,2499,32,6,6,7,2,0,1,1000,1
Premium,1499,36,2,6,4,5,0,1,500,1
Premium,1499,29,3,2,8,0,1,0,500,0
Premium,1499,39,3,3,8,2,1,1,500,0
Basic,699,31,2,2,3,6,0,0,100,0
Basic,699,13,9,0,8,5,1,1,100,1
Ultra,2499,39,9,0,1,1,1,0,1000,1
Basic,699,35,10,8,8,3,0,1,100,1
Ultra,2499,14,0,1,3,0,1,1,1000,0
Plus,999,18,4,5,6,4,0,0,200,1
Premium,1499,23,3,2,6,1,1,0,500,0
Basic,699,42,8,1,3,4,0,1,100,1
Premium,1499,52,10,1,2,6,0,0,500,1
Basic,699,52,10,2,0,2,0,1,100,1
Basic,699,37,4,7,2,6,0,1,100,1
Premium,1499,14,3,3,6,4,1,0,500,0
Ultra,2499,38,10,5,7,4,1,1,1000,1
Plus,999,54,8,4,3,3,1,1,200,1
Ultra,2499,11,1,2,0,3,0,0,1000,0
Ultra,2499,19,10,3,4,5,0,0,1000,1
Ultra,2499,36,2,1,3,5,0,0,1000,0
Basic,699,24,2,8,4,1,1,1,100,1
Ultra,2499,8,7,2,2,0,0,0,1000,1
Ultra,2499,10,8,3,1,6,1,0,1000,1
Ultra,2499,20,0,8,1,3,1,1,1000,1
Basic,699,38,0,0,0,2,1,1,100,0
Plus,999,33,1,5,3,5,0,1,200,1
Premium,1499,57,0,8,3,0,0,0,500,1
Ultra,2499,5,8,7,8,1,0,0,1000,1
Plus,999,23,3,7,2,0,1,0,200,1
Ultra,2499,32,0,7,0,4,0,1,1000,1
Plus,999,40,7,2,3,0,0,0,200,1
Basic,699,13,9,7,6,5,0,0,100,1
Premium,1499,38,6,7,2,2,0,1,500,1
Plus,999,32,1,6,0,0,0,1,200,1
Premium,1499,21,2,4,1,0,0,1,500,0
Plus,999,36,5,4,0,4,1,0,200,1
Ultra,2499,49,1,1,1,5,1,1,1000,0
Plus,999,9,8,5,5,2,0,1,200,1
Basic,699,57,9,6,6,6,1,0,100,1
Basic,699,54,1,8,0,1,1,1,100,1
Ultra,2499,28,9,4,5,4,1,0,1000,1
Basic,699,15,10,0,7,3,0,1,100,1
Ultra,2499,29,2,5,0,3,1,1,1000,1
Basic,699,50,1,1,5,3,1,0,100,0
Plus,999,37,8,3,6,5,0,1,200,1
Premium,1499,48,8,1,8,6,1,1,500,1
Ultra,2499,17,7,3,2,1,0,1,1000,1
Plus,999,33,4,3,1,1,0,0,200,0
Plus,999,26,7,8,1,4,1,1,200,1
Basic,699,39,7,6,1,1,0,0,100,1
Premium,1499,26,2,5,1,0,0,1,500,1
Basic,699,23,5,7,4,6,1,0,100,1
Basic,699,43,10,3,6,1,0,1,100,1
Basic,699,6,1,4,5,1,1,1,100,0
Basic,699,34,6,5,1,4,0,0,100,1
Premium,1499,50,9,3,0,5,0,1,500,1
Plus,999,4,8,7,3,6,0,0,200,1
Basic,699,58,10,1,7,5,0,1,100,1
Plus,999,45,10,4,8,2,0,0,200,1
Basic,699,9,8,0,1,6,1,0,100,1
Plus,999,4,5,7,8,3,1,1,200,1
Ultra,2499,37,5,6,3,5,0,1,1000,1
Basic,699,19,1,3,6,0,0,0,100,0
Premium,1499,23,3,2,7,6,0,0,500,0
Plus,999,1,8,2,7,6,0,1,200,1
Plus,999,44,4,3,7,5,0,0,200,0
Premium,1499,42,8,1,2,5,0,1,500,1
Basic,699,33,8,2,5,1,1,1,100,1
Basic,699,53,6,8,8,6,0,0,100,1
Premium,1499,56,5,8,0,1,1,0,500,1
Premium,1499,54,4,2,4,0,1,0,500,0
Ultra,2499,1,3,5,4,3,0,1,1000,1
Plus,999,21,10,1,2,3,1,0,200,1
Plus,999,47,0,8,3,5,1,1,200,1
Basic,699,25,10,6,8,0,0,1,100,1
Premium,1499,53,6,4,1,6,0,0,500,1
Premium,1499,47,2,8,1,3,0,0,500,1
Basic,699,3,3,5,0,1,1,1,100,1
Plus,999,25,9,7,3,5,0,1,200,1
Ultra,2499,38,8,8,3,4,0,0,1000,1
Plus,999,55,0,2,0,3,0,0,200,0
Ultra,2499,56,3,7,3,0,1,0,1000,1
Plus,999,24,0,2,5,0,0,1,200,0
Premium,1499,9,8,1,0,4,1,0,500,1
Ultra,2499,3,8,4,7,3,1,0,1000,1
Premium,1499,53,10,8,6,3,0,1,500,1
Basic,699,40,6,3,8,3,0,1,100,1
Basic,699,6,7,2,8,3,1,0,100,1
Ultra,2499,53,0,6,5,1,0,1,1000,1
Basic,699,41,8,1,0,4,0,1,100,1
Premium,1499,45,2,2,4,3,0,0,500,0
Basic,699,40,1,5,1,5,0,1,100,1
Basic,699,29,6,1,4,5,0,0,100,1
Basic,699,6,1,8,8,4,1,0,100,1
Ultra,2499,52,3,1,7,6,0,0,1000,0
Basic,699,12,1,8,3,1,0,0,100,1
Basic,699,8,3,2,1,2,0,0,100,0
Ultra,2499,1,8,5,4,1,0,0,1000,1
Ultra,2499,58,1,1,8,2,0,0,1000,0
Ultra,2499,32,4,7,6,4,0,1,1000,1
Plus,999,43,9,7,0,6,1,0,200,1
Basic,699,58,1,4,7,6,1,0,100,0
Basic,699,9,1,2,5,3,0,1,100,0
Ultra,2499,44,6,7,8,0,1,1,1000,1
Basic,699,25,10,6,2,5,1,1,100,1
Basic,699,46,2,7,1,3,0,0,100,1
Premium,1499,59,9,7,2,2,0,1,500,1
Plus,999,22,0,7,6,6,0,1,200,1
Basic,699,53,0,0,1,2,1,1,100,0
Plus,999,1,2,8,1,0,0,1,200,1
Basic,699,35,2,3,5,2,0,0,100,0
Premium,1499,38,10,3,0,0,1,1,500,1
Ultra,2499,54,2,0,3,3,1,1,1000,0
Premium,1499,48,9,6,6,2,0,0,500,1
Basic,699,12,6,8,7,1,0,0,100,1
Premium,1499,44,9,8,2,3,0,1,500,1
Plus,999,43,9,0,5,1,1,1,200,1
Plus,999,12,3,6,3,0,1,0,200,1
Basic,699,1,9,6,0,5,1,0,100,1
Premium,1499,43,2,5,4,6,0,1,500,1
Ultra,2499,30,2,5,6,5,0,0,1000,1
Basic,699,59,7,5,5,0,1,1,100,1
Basic,699,5,1,8,4,0,1,0,100,1
Premium,1499,5,10,2,6,1,0,0,500,1
Basic,699,25,10,6,1,5,0,1,100,1
Premium,1499,10,2,3,2,6,1,0,500,0
Basic,699,2,1,0,4,0,0,0,100,0
Plus,999,49,7,5,2,6,0,0,200,1
Basic,699,35,1,3,6,6,1,0,100,0
Ultra,2499,23,4,3,2,5,0,0,1000,0
Ultra,2499,52,5,2,8,3,0,1,1000,1
Ultra,2499,56,0,8,5,5,0,1,1000,1
Ultra,2499,5,7,7,8,5,1,1,1000,1
Premium,1499,24,8,2,7,5,1,1,500,1
Ultra,2499,1,8,2,7,6,1,1,1000,1
Ultra,2499,44,3,5,0,1,1,0,1000,1
Basic,699,29,3,3,6,2,0,1,100,0
Ultra,2499,1,8,3,6,6,1,0,1000,1
Premium,1499,11,0,4,8,4,1,1,500,0
Plus,999,6,7,4,8,5,1,1,200,1
Ultra,2499,43,8,4,8,6,0,1,1000,1
Premium,1499,60,8,5,1,6,0,0,500,1
Plus,999,6,1,0,1,3,0,1,200,0
Basic,699,18,7,2,0,5,0,0,100,1
Ultra,2499,27,4,1,3,2,0,1,1000,0
Premium,1499,39,9,4,3,5,1,1,500,1
Ultra,2499,14,7,3,8,4,0,1,1000,1
Ultra,2499,8,5,6,6,4,1,0,1000,1
Basic,699,45,5,0,4,4,1,1,100,1
Plus,999,38,7,4,7,3,1,1,200,1
Basic,699,35,4,6,2,2,1,0,100,1
Ultra,2499,12,1,0,4,6,1,1,1000,0
Basic,699,14,0,2,3,5,1,1,100,0
Basic,699,28,4,4,6,5,0,0,100,0
Plus,999,50,6,8,8,4,0,1,200,1
Ultra,2499,52,4,8,1,0,0,0,1000,1
Premium,1499,23,8,0,8,3,1,1,500,1
Plus,999,40,9,3,2,5,1,0,200,1
Plus,999,31,0,1,7,6,1,0,200,0
Ultra,2499,19,0,3,5,2,1,1,1000,0
Basic,699,13,4,2,7,3,0,1,100,0
Ultra,2499,57,4,7,0,4,1,1,1000,1
Basic,699,5,0,5,3,5,0,1,100,1
Ultra,2499,25,6,4,1,1,1,1,1000,1
Premium,1499,31,2,3,5,4,1,1,500,0
Premium,1499,24,10,1,1,4,1,0,500,1
Plus,999,42,3,7,6,4,1,0,200,1
Ultra,2499,18,3,0,8,1,1,1,1000,0
Premium,1499,5,10,2,0,1,1,1,500,1
Basic,699,17,7,2,2,4,1,1,100,1
Premium,1499,19,1,4,0,1,1,1,500,0
Ultra,2499,16,7,5,6,0,1,1,1000,1
Ultra,2499,44,10,7,6,0,1,0,1000,1
Ultra,2499,7,8,1,2,4,1,1,1000,1
Premium,1499,34,9,5,0,3,1,1,500,1
Ultra,2499,60,7,3,0,0,1,1,1000,1
Plus,999,30,9,0,6,1,0,1,200,1
Premium,1499,44,6,0,3,6,0,1,500,1
Premium,1499,22,10,7,5,1,0,0,500,1
Ultra,2499,54,0,2,1,3,0,0,1000,0
Basic,699,10,6,3,0,1,0,1,100,1
Ultra,2499,5,10,5,1,1,1,1,1000,1
Ultra,2499,59,7,3,8,3,0,1,1000,1
Premium,1499,38,2,2,8,1,1,1,500,0
Basic,699,36,10,2,2,2,1,1,100,1
Premium,1499,21,9,7,4,1,0,0,500,1
Premium,1499,31,10,4,4,4,0,1,500,1
Premium,1499,47,5,0,3,3,1,0,500,1
Plus,999,50,9,5,4,6,1,0,200,1
Premium,1499,45,10,7,0,5,0,1,500,1
Ultra,2499,19,4,1,8,6,1,1,1000,0
Plus,999,5,7,0,8,3,1,0,200,1
Plus,999,5,1,0,5,5,1,0,200,1
Basic,699,7,6,3,8,6,0,0,100,1
Premium,1499,16,10,4,0,1,1,0,500,1
Plus,999,58,2,6,2,4,1,1,200,1
Basic,699,46,0,3,7,2,1,1,100,0
Plus,999,13,3,5,7,4,0,0,200,1
Plus,999,54,6,6,7,3,1,1,200,1
Basic,699,2,5,7,6,5,0,1,100,1
Premium,1499,20,10,5,8,6,0,1,500,1
Plus,999,56,1,3,6,5,0,1,200,0
Plus,999,55,8,0,3,6,0,0,200,1
Plus,999,56,4,0,0,1,0,1,200,0
Basic,699,17,5,4,7,6,0,1,100,1
Premium,1499,8,7,0,2,0,0,1,500,1
Plus,999,43,4,8,2,6,1,1,200,1
Basic,699,36,2,0,1,1,1,1,100,0
Premium,1499,11,8,1,0,1,0,0,500,1
Premium,1499,30,4,1,1,6,0,0,500,0
Premium,1499,56,3,6,5,6,0,1,500,1
Ultra,2499,8,3,2,3,2,0,0,1000,0
Basic,699,12,5,8,3,0,0,1,100,1
Ultra,2499,37,7,2,7,0,0,1,1000,1
Basic,699,14,8,8,5,2,0,1,100,1
Premium,1499,45,5,0,2,5,1,0,500,1
Premium,1499,41,6,5,2,0,1,0,500,1
Basic,699,43,2,8,0,5,0,0,100,1
Ultra,2499,52,2,6,7,2,1,0,1000,1
Ultra,2499,44,0,3,6,4,1,1,1000,0
Premium,1499,25,8,0,0,3,0,0,500,1
Basic,699,59,5,5,1,0,0,0,100,1
Basic,699,36,10,8,7,0,1,0,100,1
Premium,1499,19,6,6,2,6,0,1,500,1
Premium,1499,49,5,3,3,3,0,1,500,1
Basic,699,39,7,7,1,1,0,1,100,1
Basic,699,19,4,7,6,6,0,0,100,1
Basic,699,7,7,1,0,0,0,0,100,1
Plus,999,19,5,8,0,2,1,1,200,1
Ultra,2499,31,4,2,4,4,0,1,1000,0
Plus,999,21,5,4,8,5,0,1,200,1
Plus,999,56,1,4,7,0,1,1,200,0
Ultra,2499,12,9,1,5,0,0,1,1000,1
Ultra,2499,22,8,2,6,6,1,0,1000,1
Ultra,2499,39,6,2,2,3,1,0,1000,1
Plus,999,20,7,7,6,6,1,0,200,1
Plus,999,3,0,0,7,6,1,0,200,1
Premium,1499,15,4,7,8,0,1,1,500,1
Premium,1499,55,4,0,8,0,1,0,500,0
Plus,999,59,2,7,1,4,1,0,200,1
Basic,699,11,6,5,2,1,0,1,100,1
Basic,699,16,1,4,6,5,0,0,100,0
Premium,1499,37,9,1,7,3,1,1,500,1
Basic,699,47,1,7,2,0,1,0,100,1
Premium,1499,60,5,5,3,2,1,0,500,1
Premium,1499,25,8,2,7,4,0,0,500,1
Premium,1499,33,9,1,8,1,1,0,500,1
Premium,1499,5,5,8,3,1,0,1,500,1
Basic,699,46,9,7,3,3,0,1,100,1
Ultra,2499,29,4,2,8,2,0,1,1000,0
Ultra,2499,27,10,7,4,2,1,1,1000,1
Plus,999,35,5,5,5,5,1,1,200,1
Plus,999,46,9,5,1,2,1,0,200,1
Ultra,2499,37,8,4,5,6,1,0,1000,1
Plus,999,7,3,2,7,2,1,0,200,0
Premium,1499,26,6,2,0,2,0,1,500,1
Ultra,2499,4,9,5,8,2,1,1,1000,1
Ultra,2499,54,8,1,0,4,0,0,1000,1
Basic,699,10,9,3,0,1,0,0,100,1
Basic,699,30,9,5,8,4,1,1,100,1
Basic,699,10,3,7,1,4,1,1,100,1
Basic,699,52,7,7,2,1,1,0,100,1
Premium,1499,9,7,6,7,2,1,1,500,1
Basic,699,35,5,8,0,1,1,0,100,1
Plus,999,50,6,2,1,6,1,0,200,1
Basic,699,10,5,5,4,2,0,1,100,1
Basic,699,33,7,8,1,3,0,1,100,1
Plus,999,27,8,0,4,6,1,0,200,1
Premium,1499,43,6,2,2,5,1,1,500,1
Plus,999,1,0,2,0,6,1,1,200,1
Premium,1499,60,8,8,6,5,1,1,500,1
Basic,699,7,10,5,0,6,1,0,100,1
Premium,1499,31,5,5,8,0,1,1,500,1
Premium,1499,45,6,8,6,6,0,0,500,1
Basic,699,17,9,3,2,6,0,1,100,1
Ultra,2499,31,10,5,5,2,0,1,1000,1
Basic,699,45,6,5,6,3,0,1,100,1
Ultra,2499,52,10,4,2,5,0,0,1000,1
Ultra,2499,37,1,6,6,1,0,0,1000,1
Premium,1499,46,10,8,6,4,0,0,500,1
Basic,699,59,5,8,5,5,0,0,100,1
Basic,699,38,4,3,3,1,1,0,100,0
Plus,999,55,2,4,5,1,1,0,200,0
Basic,699,48,5,0,4,5,0,1,100,1
Basic,699,4,6,7,1,5,1,1,100,1
Basic,699,44,7,5,7,6,1,0,100,1
Plus,999,14,8,2,0,2,0,1,200,1
Premium,1499,33,5,6,7,1,1,0,500,1
Ultra,2499,23,6,4,4,5,1,1,1000,1
Premium,1499,22,7,8,7,2,0,0,500,1
Basic,699,1,5,4,2,3,0,1,100,1
Basic,699,57,3,3,6,6,1,0,100,0
Ultra,2499,33,0,5,1,3,1,0,1000,1
Plus,999,54,3,1,3,6,0,0,200,0
Premium,1499,6,5,5,2,0,0,1,500,1
Basic,699,32,4,0,1,1,1,0,100,0
Premium,1499,8,6,7,0,0,0,1,500,1
Ultra,2499,41,10,5,2,5,1,1,1000,1
Premium,1499,21,7,7,0,0,0,1,500,1
Ultra,2499,10,4,0,6,1,0,1,1000,0
Ultra,2499,7,3,6,5,4,0,0,1000,1
Plus,999,50,10,7,3,2,0,0,200,1
Ultra,2499,7,4,7,4,0,0,0,1000,1
Plus,999,6,9,3,3,5,1,1,200,1
Premium,1499,36,8,1,3,5,1,0,500,1
Premium,1499,13,8,7,7,0,0,1,500,1
Premium,1499,13,7,2,4,1,1,1,500,1
Premium,1499,4,7,8,0,4,1,0,500,1
Basic,699,33,1,4,8,2,0,1,100,0
Ultra,2499,7,0,6,3,3,1,0,1000,1
Premium,1499,25,8,5,2,0,1,0,500,1
Basic,699,57,5,5,4,1,1,0,100,1
Plus,999,6,6,3,4,0,1,0,200,1
Basic,699,52,6,4,3,1,0,1,100,1
Premium,1499,47,1,0,4,5,1,1,500,0
Plus,999,2,0,8,0,6,1,0,200,1
Ultra,2499,10,10,7,0,3,1,0,1000,1
Basic,699,12,5,0,0,1,1,1,100,1
Plus,999,57,7,7,5,4,1,1,200,1
Plus,999,20,8,3,1,1,1,0,200,1
Plus,999,33,10,4,6,6,1,0,200,1
Plus,999,37,3,2,4,1,1,0,200,0
Ultra,2499,9,6,8,0,6,1,0,1000,1
Plus,999,46,6,4,2,3,0,0,200,1
Plus,999,24,1,4,0,0,0,0,200,0
Plus,999,17,4,4,6,4,0,1,200,0
Plus,999,10,4,8,3,1,0,1,200,1
Premium,1499,34,2,6,1,5,0,0,500,1
Ultra,2499,60,10,1,5,4,0,0,1000,1
Plus,999,57,0,4,5,6,0,1,200,0
Basic,699,32,4,6,6,5,1,0,100,1
Premium,1499,60,9,4,4,1,0,0,500,1
Premium,1499,40,1,6,3,3,0,1,500,1
Premium,1499,39,10,0,6,0,0,1,500,1
Plus,999,17,7,6,6,2,1,1,200,1
Ultra,2499,48,5,7,0,1,1,0,1000,1
Plus,999,11,1,1,3,2,0,0,200,0
Plus,999,34,3,8,6,1,1,1,200,1
Premium,1499,22,0,5,8,4,1,0,500,1
Ultra,2499,48,1,8,0,5,1,0,1000,1
Plus,999,34,9,8,6,0,0,0,200,1
Plus,999,59,3,3,4,6,0,0,200,0
Premium,1499,15,3,5,3,2,0,1,500,1
Plus,999,21,1,4,5,5,1,0,200,0
Ultra,2499,9,6,1,4,6,1,1,1000,1
Plus,999,11,6,3,7,6,0,1,200,1
Premium,1499,35,3,4,8,3,0,0,500,0
Ultra,2499,8,10,0,8,1,0,0,1000,1
Premium,1499,21,10,0,1,5,1,1,500,1
Basic,699,15,2,7,2,5,0,1,100,1
Plus,999,11,10,4,6,1,1,1,200,1
Premium,1499,31,6,8,8,4,0,0,500,1
Ultra,2499,60,0,7,0,6,1,0,1000,1
Premium,1499,49,7,0,5,0,0,1,500,1
Basic,699,12,6,7,3,4,1,1,100,1
Ultra,2499,25,1,1,3,6,1,1,1000,0
Ultra,2499,15,0,3,1,4,1,0,1000,0
Plus,999,7,6,0,8,0,0,0,200,1
